"Name","Type","Id","Native"
"Office 365 Outlook","connector","/providers/Microsoft.PowerApps/apis/shared_office365","True"
"Office 365 Users","connector","/providers/Microsoft.PowerApps/apis/shared_office365users","True"
"SharePoint","connector","/providers/Microsoft.PowerApps/apis/shared_sharepointonline","True"
"OneDrive for Business","connector","/providers/Microsoft.PowerApps/apis/shared_onedriveforbusiness","True"
"Dynamics 365 (deprecated)","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicscrmonline","True"
"Salesforce","connector","/providers/Microsoft.PowerApps/apis/shared_salesforce","False"
"OneDrive","connector","/providers/Microsoft.PowerApps/apis/shared_onedrive","True"
"SQL Server","connector","/providers/Microsoft.PowerApps/apis/shared_sql","False"
"Dropbox","connector","/providers/Microsoft.PowerApps/apis/shared_dropbox","False"
"10to8 Appointment Scheduling","connector","/providers/Microsoft.PowerApps/apis/shared_10to8","False"
"1pt (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_1ptip","False"
"24 pull request (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_24pullrequestip","False"
"365 Training","connector","/providers/Microsoft.PowerApps/apis/shared_365training","True"
"Azure AD Identity and Access","connector","/providers/Microsoft.PowerApps/apis/shared_aadinvitationmanager","True"
"Abortion Policy (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_abortionpolicyapiip","False"
"absentify","connector","/providers/Microsoft.PowerApps/apis/shared_absentify","False"
"AccuWeather (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_accuweatherip","False"
"Azure Container Instance","connector","/providers/Microsoft.PowerApps/apis/shared_aci","True"
"Azure Communication Services Chat","connector","/providers/Microsoft.PowerApps/apis/shared_acschat","True"
"Azure Communication Services Email","connector","/providers/Microsoft.PowerApps/apis/shared_acsemail","True"
"Azure Communication Services Identity","connector","/providers/Microsoft.PowerApps/apis/shared_acsidentity","True"
"Azure Communication Services SMS Events","connector","/providers/Microsoft.PowerApps/apis/shared_acssmsevents","True"
"Act!","connector","/providers/Microsoft.PowerApps/apis/shared_act","False"
"TeamWherx","connector","/providers/Microsoft.PowerApps/apis/shared_actsoft","False"
"Acumatica","connector","/providers/Microsoft.PowerApps/apis/shared_acumatica","False"
"Adobe Creative Cloud","connector","/providers/Microsoft.PowerApps/apis/shared_adobecreativecloud","False"
"Adobe Experience Manager","connector","/providers/Microsoft.PowerApps/apis/shared_adobeexperiencemanag","False"
"Adobe PDF Services","connector","/providers/Microsoft.PowerApps/apis/shared_adobepdftools","False"
"Adobe Acrobat Sign","connector","/providers/Microsoft.PowerApps/apis/shared_adobesign","False"
"Advanced Data Operations","connector","/providers/Microsoft.PowerApps/apis/shared_advanceddataoperatio","False"
"Advanced Scraper (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_advancedscraperip","False"
"Affirmations (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_affirmationsip","False"
"Africa's Talking Airtime","connector","/providers/Microsoft.PowerApps/apis/shared_africastalkingairtime","False"
"Africa's Talking SMS","connector","/providers/Microsoft.PowerApps/apis/shared_africastalkingsms","False"
"Africa's Talking Voice","connector","/providers/Microsoft.PowerApps/apis/shared_africastalkingvoice","False"
"AfterShip (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_aftershipip","False"
"AgilePoint NX","connector","/providers/Microsoft.PowerApps/apis/shared_agilepointnx","False"
"Agilite","connector","/providers/Microsoft.PowerApps/apis/shared_agilite","False"
"Ahead","connector","/providers/Microsoft.PowerApps/apis/shared_ahead","False"
"Ahead (Intranet)","connector","/providers/Microsoft.PowerApps/apis/shared_aheadintranet","False"
"AIForged","connector","/providers/Microsoft.PowerApps/apis/shared_aiforged","False"
"AikiDocs","connector","/providers/Microsoft.PowerApps/apis/shared_aikidocs","False"
"Airlabs (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_airlabsip","False"
"Airly (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_airlyip","False"
"Airmeet","connector","/providers/Microsoft.PowerApps/apis/shared_airmeet","False"
"airSlate","connector","/providers/Microsoft.PowerApps/apis/shared_airslate","False"
"Airtable (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_airtable","False"
"Alemba ITSM","connector","/providers/Microsoft.PowerApps/apis/shared_alembaitsm","False"
"Aletheia","connector","/providers/Microsoft.PowerApps/apis/shared_aletheia","False"
"Ally","connector","/providers/Microsoft.PowerApps/apis/shared_aliru","False"
"Alkymi","connector","/providers/Microsoft.PowerApps/apis/shared_alkymi","False"
"allGeo","connector","/providers/Microsoft.PowerApps/apis/shared_allgeo","False"
"Almabase","connector","/providers/Microsoft.PowerApps/apis/shared_almabase","False"
"Amazon Redshift","connector","/providers/Microsoft.PowerApps/apis/shared_amazonredshift","False"
"Amazon S3","connector","/providers/Microsoft.PowerApps/apis/shared_amazons3","False"
"Amazon SQS","connector","/providers/Microsoft.PowerApps/apis/shared_amazonsqs","False"
"Ambee (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_ambeeip","False"
"AMEE Open Business (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_ameeopenbusinessip","False"
"Annature","connector","/providers/Microsoft.PowerApps/apis/shared_annatureip","False"
"APITemplate (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_apitemplateip","False"
"Appfigures","connector","/providers/Microsoft.PowerApps/apis/shared_appfigures","False"
"Azure Application Insights","connector","/providers/Microsoft.PowerApps/apis/shared_applicationinsights","True"
"App Power Forms","connector","/providers/Microsoft.PowerApps/apis/shared_apppowerforms","True"
"Approvals","connector","/providers/Microsoft.PowerApps/apis/shared_approvals","True"
"AppsForOps Timeline","connector","/providers/Microsoft.PowerApps/apis/shared_appsforops","False"
